epoch	accuracy	loss	precision_1	recall_1	time_per_epoch	val_accuracy	val_loss	val_precision_1	val_recall_1
0	0.2421875	1.4476789236068726	0.0	0.0	36.49520301818848	0.25	1.3869413137435913	0.0	0.0
1	0.2421875	1.4137424230575562	0.0	0.0	9.371380805969238	0.25	1.3877933025360107	0.0	0.0
2	0.2265625	1.4107803106307983	0.0	0.0	9.551031827926636	0.25	1.3882097005844116	0.0	0.0
3	0.2265625	1.408679485321045	0.0	0.0	9.504541635513306	0.25	1.3889002799987793	0.0	0.0
4	0.25	1.4137097597122192	0.0	0.0	9.594003200531006	0.25	1.391126036643982	0.0	0.0
5	0.1953125	1.4145069122314453	0.0	0.0	9.607936143875122	0.25	1.3914642333984375	0.0	0.0
Total Training Time (seconds)
84.26022410392761
"Total Training Time (hours, minutes, seconds)"
0.0,1.0,24.260224103927612
